,Feature,Importance
42,42,0.054725813382167816
41,41,0.053956960990433823
39,39,0.052656893391812475
54,54,0.04594050029482227
0,0,0.04551496129345507
63,63,0.040766135921706644
52,52,0.03765687719325271
10,10,0.03733575515040827
4,4,0.034247743974153685
13,13,0.03336576301645667
6,6,0.028405294496067386
66,66,0.027320359833085207
5,5,0.02614176503239117
12,12,0.0240072992298862
8,8,0.021852061308325663
40,40,0.021653931081591356
65,65,0.02140113971678491
53,53,0.02106889518685731
55,55,0.01928637465924626
69,69,0.017067697173887314
67,67,0.016765402773307056
35,35,0.01668737921640198
34,34,0.016133164020179752
17,17,0.01474222515372612
62,62,0.013697436946855608
74,74,0.013652902776486881
2,2,0.013226934645466013
37,37,0.012974080985556406
14,14,0.012860954109180542
68,68,0.012607308148079392
46,46,0.012583946441437772
23,23,0.011953846550740905
1,1,0.010898545234014324
21,21,0.01062195781865459
47,47,0.010417180099801839
16,16,0.00975309879123933
24,24,0.009528839348392543
64,64,0.009513824551384512
22,22,0.00931652578954207
3,3,0.009208175640512547
15,15,0.0091990840392078
11,11,0.009162053474306191
9,9,0.007976406581191035
18,18,0.007868044491104119
36,36,0.007519326443866809
77,77,0.007207814752654484
20,20,0.006401532052601209
19,19,0.00481543561371863
76,76,0.004736249653167982
38,38,0.003720392714599397
7,7,0.0028121030508628923
48,48,0.0020939296536874336
25,25,0.002066270378684742
72,72,0.0019846638323014272
29,29,0.0015671118122020538
28,28,0.0015639461088517346
70,70,0.0012583686601059497
26,26,0.0011968609979451112
27,27,0.0011700181694318374
73,73,0.001042523709842621
43,43,0.0008136136767547397
51,51,0.0006157104049116734
30,30,0.0006150341675040614
71,71,0.0004278739354411313
44,44,0.0003600027182598986
75,75,0.00026530908710787596
32,32,1.3907199368922658e-05
49,49,1.0174398039211342e-05
45,45,2.868545266714269e-07
61,61,0.0
60,60,0.0
59,59,0.0
58,58,0.0
57,57,0.0
56,56,0.0
31,31,0.0
33,33,0.0
50,50,0.0
